"date_str","opp","result","record","team","league","division","pct","date_str2"
"Saturday, Jun 6","NYY","L","28-28","LAA","AL","west",0.5,2015-06-06
"Sunday, Jun 7","NYY","L","28-29","LAA","AL","west",0.491228070175439,2015-06-07
"Tuesday, Jun 9","TBR","W","29-29","LAA","AL","west",0.5,2015-06-09
"Wednesday, Jun 10","TBR","L","29-30","LAA","AL","west",0.491525423728814,2015-06-10
"Thursday, Jun 11","TBR","W","30-30","LAA","AL","west",0.5,2015-06-11
"Friday, Jun 12","OAK","W","31-30","LAA","AL","west",0.508196721311475,2015-06-12
"Saturday, Jun 13","OAK","W","32-30","LAA","AL","west",0.516129032258065,2015-06-13
"Sunday, Jun 14","OAK","L","32-31","LAA","AL","west",0.507936507936508,2015-06-14
"Monday, Jun 15","ARI","L","32-32","LAA","AL","west",0.5,2015-06-15
"Tuesday, Jun 16","ARI","W","33-32","LAA","AL","west",0.507692307692308,2015-06-16
"Wednesday, Jun 17","ARI","L","33-33","LAA","AL","west",0.5,2015-06-17
"Thursday, Jun 18","ARI","W","34-33","LAA","AL","west",0.507462686567164,2015-06-18
"Friday, Jun 19","OAK","W","35-33","LAA","AL","west",0.514705882352941,2015-06-19
"Saturday, Jun 20","OAK","L","35-34","LAA","AL","west",0.507246376811594,2015-06-20
"Sunday, Jun 21","OAK","L","35-35","LAA","AL","west",0.5,2015-06-21
"Monday, Jun 22","HOU","W","36-35","LAA","AL","west",0.507042253521127,2015-06-22
"Tuesday, Jun 23","HOU","L","36-36","LAA","AL","west",0.5,2015-06-23
"Wednesday, Jun 24","HOU","W-wo","37-36","LAA","AL","west",0.506849315068493,2015-06-24
"Friday, Jun 26","SEA","L","37-37","LAA","AL","west",0.5,2015-06-26
"Saturday, Jun 27","SEA","W","38-37","LAA","AL","west",0.506666666666667,2015-06-27
"Sunday, Jun 28","SEA","W-wo","39-37","LAA","AL","west",0.513157894736842,2015-06-28
"Monday, Jun 29","NYY","W","40-37","LAA","AL","west",0.519480519480519,2015-06-29
"Tuesday, Jun 30","NYY","W","41-37","LAA","AL","west",0.525641025641026,2015-06-30
"Wednesday, Jul 1","NYY","L","41-38","LAA","AL","west",0.518987341772152,2015-07-01
"Friday, Jul 3","TEX","W","42-38","LAA","AL","west",0.525,2015-07-03
"Saturday, Jul 4","TEX","W","43-38","LAA","AL","west",0.530864197530864,2015-07-04
"Sunday, Jul 5","TEX","W","44-38","LAA","AL","west",0.536585365853659,2015-07-05
"Tuesday, Jul 7","COL","W","45-38","LAA","AL","west",0.542168674698795,2015-07-07
"Wednesday, Jul 8","COL","W","46-38","LAA","AL","west",0.547619047619048,2015-07-08
"Thursday, Jul 9","SEA","L","46-39","LAA","AL","west",0.541176470588235,2015-07-09
"Friday, Jul 10","SEA","W","47-39","LAA","AL","west",0.546511627906977,2015-07-10
"Saturday, Jul 11","SEA","L","47-40","LAA","AL","west",0.540229885057471,2015-07-11
"Sunday, Jul 12","SEA","W","48-40","LAA","AL","west",0.545454545454545,2015-07-12
"Friday, Jul 17","BOS","W-wo","49-40","LAA","AL","west",0.550561797752809,2015-07-17
"Saturday, Jul 18","BOS","W","50-40","LAA","AL","west",0.555555555555556,2015-07-18
"Monday, Jul 20 (1)","BOS","W","51-40","LAA","AL","west",0.56043956043956,2015-07-20
"Monday, Jul 20 (2)","BOS","W","52-40","LAA","AL","west",0.565217391304348,2015-07-20
"Tuesday, Jul 21","MIN","W","53-40","LAA","AL","west",0.56989247311828,2015-07-21
"Wednesday, Jul 22","MIN","W","54-40","LAA","AL","west",0.574468085106383,2015-07-22
"Thursday, Jul 23","MIN","L","54-41","LAA","AL","west",0.568421052631579,2015-07-23
"Friday, Jul 24","TEX","L","54-42","LAA","AL","west",0.5625,2015-07-24
"Saturday, Jul 25","TEX","L","54-43","LAA","AL","west",0.556701030927835,2015-07-25
"Sunday, Jul 26","TEX","W","55-43","LAA","AL","west",0.561224489795918,2015-07-26
"Tuesday, Jul 28","HOU","L","55-44","LAA","AL","west",0.555555555555556,2015-07-28
"Wednesday, Jul 29","HOU","L","55-45","LAA","AL","west",0.55,2015-07-29
"Thursday, Jul 30","HOU","L-wo","55-46","LAA","AL","west",0.544554455445545,2015-07-30
"Friday, Jul 31","LAD","L","55-47","LAA","AL","west",0.53921568627451,2015-07-31
"Saturday, Aug 1","LAD","L","55-48","LAA","AL","west",0.533980582524272,2015-08-01
"Sunday, Aug 2","LAD","L-wo","55-49","LAA","AL","west",0.528846153846154,2015-08-02
"Monday, Aug 3","CLE","W","56-49","LAA","AL","west",0.533333333333333,2015-08-03
"Tuesday, Aug 4","CLE","L","56-50","LAA","AL","west",0.528301886792453,2015-08-04
"Wednesday, Aug 5","CLE","W-wo","57-50","LAA","AL","west",0.532710280373832,2015-08-05
"Friday, Aug 7","BAL","W","58-50","LAA","AL","west",0.537037037037037,2015-08-07
"Saturday, Aug 8","BAL","L","58-51","LAA","AL","west",0.532110091743119,2015-08-08
"Sunday, Aug 9","BAL","W-wo","59-51","LAA","AL","west",0.536363636363636,2015-08-09
"Monday, Aug 10","CHW","L","59-52","LAA","AL","west",0.531531531531532,2015-08-10
"Tuesday, Aug 11","CHW","L","59-53","LAA","AL","west",0.526785714285714,2015-08-11
"Wednesday, Aug 12","CHW","L-wo","59-54","LAA","AL","west",0.52212389380531,2015-08-12
"Thursday, Aug 13","KCR","W","60-54","LAA","AL","west",0.526315789473684,2015-08-13
"Friday, Aug 14","KCR","L","60-55","LAA","AL","west",0.521739130434783,2015-08-14
"Saturday, Aug 15","KCR","L","60-56","LAA","AL","west",0.517241379310345,2015-08-15
"Sunday, Aug 16","KCR","L-wo","60-57","LAA","AL","west",0.512820512820513,2015-08-16
"Monday, Aug 17","CHW","W","61-57","LAA","AL","west",0.516949152542373,2015-08-17
"Tuesday, Aug 18","CHW","W","62-57","LAA","AL","west",0.521008403361345,2015-08-18
"Wednesday, Aug 19","CHW","W","63-57","LAA","AL","west",0.525,2015-08-19
"Thursday, Aug 20","CHW","L","63-58","LAA","AL","west",0.520661157024793,2015-08-20
"Friday, Aug 21","TOR","L","63-59","LAA","AL","west",0.516393442622951,2015-08-21
"Saturday, Aug 22","TOR","L","63-60","LAA","AL","west",0.51219512195122,2015-08-22
"Sunday, Aug 23","TOR","L","63-61","LAA","AL","west",0.508064516129032,2015-08-23
"Tuesday, Aug 25","DET","W","64-61","LAA","AL","west",0.512,2015-08-25
"Wednesday, Aug 26","DET","L","64-62","LAA","AL","west",0.507936507936508,2015-08-26
"Thursday, Aug 27","DET","W","65-62","LAA","AL","west",0.511811023622047,2015-08-27
"Friday, Aug 28","CLE","L","65-63","LAA","AL","west",0.5078125,2015-08-28
"Saturday, Aug 29","CLE","L","65-64","LAA","AL","west",0.503875968992248,2015-08-29
"Sunday, Aug 30","CLE","L","65-65","LAA","AL","west",0.5,2015-08-30
"Monday, Aug 31","OAK","L","65-66","LAA","AL","west",0.49618320610687,2015-08-31
"Tuesday, Sep 1","OAK","W","66-66","LAA","AL","west",0.5,2015-09-01
"Wednesday, Sep 2","OAK","W","67-66","LAA","AL","west",0.503759398496241,2015-09-02
"Friday, Sep 4","TEX","W","68-66","LAA","AL","west",0.507462686567164,2015-09-04
"Saturday, Sep 5","TEX","L","68-67","LAA","AL","west",0.503703703703704,2015-09-05
"Sunday, Sep 6","TEX","W","69-67","LAA","AL","west",0.507352941176471,2015-09-06
"Monday, Sep 7","LAD","L","69-68","LAA","AL","west",0.503649635036496,2015-09-07
"Tuesday, Sep 8","LAD","L","69-69","LAA","AL","west",0.5,2015-09-08
"Wednesday, Sep 9","LAD","W","70-69","LAA","AL","west",0.503597122302158,2015-09-09
"Friday, Sep 11","HOU","W","71-69","LAA","AL","west",0.507142857142857,2015-09-11
"Saturday, Sep 12","HOU","W","72-69","LAA","AL","west",0.51063829787234,2015-09-12
"Sunday, Sep 13","HOU","L","72-70","LAA","AL","west",0.507042253521127,2015-09-13
"Monday, Sep 14","SEA","L","72-71","LAA","AL","west",0.503496503496504,2015-09-14
"Tuesday, Sep 15","SEA","W","73-71","LAA","AL","west",0.506944444444444,2015-09-15
"Wednesday, Sep 16","SEA","L","73-72","LAA","AL","west",0.503448275862069,2015-09-16
"Thursday, Sep 17","MIN","W","74-72","LAA","AL","west",0.506849315068493,2015-09-17
"Saturday, Sep 19 (1)","MIN","W","75-72","LAA","AL","west",0.510204081632653,2015-09-19
"Saturday, Sep 19 (2)","MIN","W","76-72","LAA","AL","west",0.513513513513513,2015-09-19
"Sunday, Sep 20","MIN","L","76-73","LAA","AL","west",0.51006711409396,2015-09-20
"Monday, Sep 21","HOU","L","76-74","LAA","AL","west",0.506666666666667,2015-09-21
"Tuesday, Sep 22","HOU","W","77-74","LAA","AL","west",0.509933774834437,2015-09-22
"Wednesday, Sep 23","HOU","W","78-74","LAA","AL","west",0.513157894736842,2015-09-23
"Friday, Sep 25","SEA","W","79-74","LAA","AL","west",0.516339869281046,2015-09-25
"Saturday, Sep 26","SEA","W-wo","80-74","LAA","AL","west",0.519480519480519,2015-09-26
"Sunday, Sep 27","SEA","W","81-74","LAA","AL","west",0.52258064516129,2015-09-27
"Monday, Apr 6","CHW","W","1-0","KCR","AL","central",1,2015-04-06
"Wednesday, Apr 8","CHW","W","2-0","KCR","AL","central",1,2015-04-08
"Thursday, Apr 9","CHW","W","3-0","KCR","AL","central",1,2015-04-09
"Friday, Apr 10","LAA","W","4-0","KCR","AL","central",1,2015-04-10
"Saturday, Apr 11","LAA","W","5-0","KCR","AL","central",1,2015-04-11
"Sunday, Apr 12","LAA","W","6-0","KCR","AL","central",1,2015-04-12
"Monday, Apr 13","MIN","W","7-0","KCR","AL","central",1,2015-04-13
"Wednesday, Apr 15","MIN","L","7-1","KCR","AL","central",0.875,2015-04-15
"Thursday, Apr 16","MIN","L","7-2","KCR","AL","central",0.777777777777778,2015-04-16
"Friday, Apr 17","OAK","W","8-2","KCR","AL","central",0.8,2015-04-17
"Saturday, Apr 18","OAK","L","8-3","KCR","AL","central",0.727272727272727,2015-04-18
"Sunday, Apr 19","OAK","W","9-3","KCR","AL","central",0.75,2015-04-19
"Monday, Apr 20","MIN","W","10-3","KCR","AL","central",0.769230769230769,2015-04-20
"Tuesday, Apr 21","MIN","W","11-3","KCR","AL","central",0.785714285714286,2015-04-21
"Wednesday, Apr 22","MIN","L","11-4","KCR","AL","central",0.733333333333333,2015-04-22
"Thursday, Apr 23","CHW","W","12-4","KCR","AL","central",0.75,2015-04-23
"Friday, Apr 24","CHW","L-wo","12-5","KCR","AL","central",0.705882352941177,2015-04-24
"Sunday, Apr 26","CHW","L","12-6","KCR","AL","central",0.666666666666667,2015-04-26
"Monday, Apr 27","CLE","W","13-6","KCR","AL","central",0.684210526315789,2015-04-27
"Tuesday, Apr 28","CLE","W","14-6","KCR","AL","central",0.7,2015-04-28
"Wednesday, Apr 29","CLE","L","14-7","KCR","AL","central",0.666666666666667,2015-04-29
"Thursday, Apr 30","DET","W","15-7","KCR","AL","central",0.681818181818182,2015-04-30
"Friday, May 1","DET","W","16-7","KCR","AL","central",0.695652173913043,2015-05-01
"Saturday, May 2","DET","L","16-8","KCR","AL","central",0.666666666666667,2015-05-02
"Sunday, May 3","DET","L","16-9","KCR","AL","central",0.64,2015-05-03
"Tuesday, May 5","CLE","W","17-9","KCR","AL","central",0.653846153846154,2015-05-05
"Wednesday, May 6","CLE","L","17-10","KCR","AL","central",0.62962962962963,2015-05-06
"Thursday, May 7","CLE","W","18-10","KCR","AL","central",0.642857142857143,2015-05-07
"Friday, May 8","DET","L-wo","18-11","KCR","AL","central",0.620689655172414,2015-05-08
"Saturday, May 9","DET","W","19-11","KCR","AL","central",0.633333333333333,2015-05-09
"Sunday, May 10","DET","W","20-11","KCR","AL","central",0.645161290322581,2015-05-10
"Monday, May 11","TEX","L","20-12","KCR","AL","central",0.625,2015-05-11
"Tuesday, May 12","TEX","W","21-12","KCR","AL","central",0.636363636363636,2015-05-12
"Wednesday, May 13","TEX","L","21-13","KCR","AL","central",0.617647058823529,2015-05-13
"Thursday, May 14","TEX","W","22-13","KCR","AL","central",0.628571428571429,2015-05-14
"Friday, May 15","NYY","W","23-13","KCR","AL","central",0.638888888888889,2015-05-15
"Saturday, May 16","NYY","L","23-14","KCR","AL","central",0.621621621621622,2015-05-16
"Sunday, May 17","NYY","W","24-14","KCR","AL","central",0.631578947368421,2015-05-17
"Tuesday, May 19","CIN","W","25-14","KCR","AL","central",0.641025641025641,2015-05-19
"Wednesday, May 20","CIN","W","26-14","KCR","AL","central",0.65,2015-05-20
"Friday, May 22","STL","W","27-14","KCR","AL","central",0.658536585365854,2015-05-22
"Saturday, May 23","STL","W","28-14","KCR","AL","central",0.666666666666667,2015-05-23
"Sunday, May 24","STL","L","28-15","KCR","AL","central",0.651162790697674,2015-05-24
"Monday, May 25","NYY","L","28-16","KCR","AL","central",0.636363636363636,2015-05-25
"Tuesday, May 26","NYY","L","28-17","KCR","AL","central",0.622222222222222,2015-05-26
"Wednesday, May 27","NYY","L","28-18","KCR","AL","central",0.608695652173913,2015-05-27
"Friday, May 29","CHC","W","29-18","KCR","AL","central",0.617021276595745,2015-05-29
"Sunday, May 31","CHC","L-wo","29-19","KCR","AL","central",0.604166666666667,2015-05-31
"Tuesday, Jun 2","CLE","L","29-20","KCR","AL","central",0.591836734693878,2015-06-02
"Wednesday, Jun 3","CLE","W","30-20","KCR","AL","central",0.6,2015-06-03
"Thursday, Jun 4","CLE","L","30-21","KCR","AL","central",0.588235294117647,2015-06-04
"Friday, Jun 5","TEX","L","30-22","KCR","AL","central",0.576923076923077,2015-06-05
"Saturday, Jun 6","TEX","L","30-23","KCR","AL","central",0.566037735849057,2015-06-06
"Sunday, Jun 7","TEX","W","31-23","KCR","AL","central",0.574074074074074,2015-06-07
"Monday, Jun 8","MIN","W","32-23","KCR","AL","central",0.581818181818182,2015-06-08
"Tuesday, Jun 9","MIN","W","33-23","KCR","AL","central",0.589285714285714,2015-06-09
"Wednesday, Jun 10","MIN","W","34-23","KCR","AL","central",0.596491228070175,2015-06-10
"Friday, Jun 12","STL","L","34-24","KCR","AL","central",0.586206896551724,2015-06-12
"Saturday, Jun 13","STL","L","34-25","KCR","AL","central",0.576271186440678,2015-06-13
"Monday, Jun 15","MIL","W","35-25","KCR","AL","central",0.583333333333333,2015-06-15
"Tuesday, Jun 16","MIL","W","36-25","KCR","AL","central",0.590163934426229,2015-06-16
"Wednesday, Jun 17","MIL","W","37-25","KCR","AL","central",0.596774193548387,2015-06-17
"Thursday, Jun 18","MIL","W","38-25","KCR","AL","central",0.603174603174603,2015-06-18
"Friday, Jun 19","BOS","L","38-26","KCR","AL","central",0.59375,2015-06-19
"Saturday, Jun 20","BOS","W","39-26","KCR","AL","central",0.6,2015-06-20
"Sunday, Jun 21","BOS","L","39-27","KCR","AL","central",0.590909090909091,2015-06-21
"Monday, Jun 22","SEA","W","40-27","KCR","AL","central",0.597014925373134,2015-06-22
"Tuesday, Jun 23","SEA","L","40-28","KCR","AL","central",0.588235294117647,2015-06-23
"Wednesday, Jun 24","SEA","W","41-28","KCR","AL","central",0.594202898550725,2015-06-24
"Friday, Jun 26","OAK","W","42-28","KCR","AL","central",0.6,2015-06-26
"Saturday, Jun 27","OAK","W","43-28","KCR","AL","central",0.605633802816901,2015-06-27
"Sunday, Jun 28","OAK","W","44-28","KCR","AL","central",0.611111111111111,2015-06-28
"Monday, Jun 29","HOU","L","44-29","KCR","AL","central",0.602739726027397,2015-06-29
"Tuesday, Jun 30","HOU","L","44-30","KCR","AL","central",0.594594594594595,2015-06-30
"Wednesday, Jul 1","HOU","L","44-31","KCR","AL","central",0.586666666666667,2015-07-01
"Thursday, Jul 2","MIN","L","44-32","KCR","AL","central",0.578947368421053,2015-07-02
"Friday, Jul 3","MIN","W-wo","45-32","KCR","AL","central",0.584415584415584,2015-07-03
"Saturday, Jul 4","MIN","L","45-33","KCR","AL","central",0.576923076923077,2015-07-04
"Sunday, Jul 5","MIN","W-wo","46-33","KCR","AL","central",0.582278481012658,2015-07-05
"Tuesday, Jul 7 (1)","TBR","W-wo","47-33","KCR","AL","central",0.5875,2015-07-07
"Tuesday, Jul 7 (2)","TBR","W","48-33","KCR","AL","central",0.592592592592593,2015-07-07
"Wednesday, Jul 8","TBR","W","49-33","KCR","AL","central",0.597560975609756,2015-07-08
"Thursday, Jul 9","TBR","W","50-33","KCR","AL","central",0.602409638554217,2015-07-09
"Friday, Jul 10","TOR","W","51-33","KCR","AL","central",0.607142857142857,2015-07-10
"Saturday, Jul 11","TOR","L","51-34","KCR","AL","central",0.6,2015-07-11
"Sunday, Jul 12","TOR","W","52-34","KCR","AL","central",0.604651162790698,2015-07-12
"Friday, Jul 17 (1)","CHW","W","53-34","KCR","AL","central",0.609195402298851,2015-07-17
"Friday, Jul 17 (2)","CHW","L","53-35","KCR","AL","central",0.602272727272727,2015-07-17
"Saturday, Jul 18","CHW","W","54-35","KCR","AL","central",0.606741573033708,2015-07-18
"Sunday, Jul 19","CHW","W","55-35","KCR","AL","central",0.611111111111111,2015-07-19
"Monday, Jul 20","PIT","L","55-36","KCR","AL","central",0.604395604395604,2015-07-20
"Tuesday, Jul 21","PIT","W","56-36","KCR","AL","central",0.608695652173913,2015-07-21
"Wednesday, Jul 22","PIT","W","57-36","KCR","AL","central",0.612903225806452,2015-07-22
"Thursday, Jul 23","STL","L","57-37","KCR","AL","central",0.606382978723404,2015-07-23
"Friday, Jul 24","HOU","L","57-38","KCR","AL","central",0.6,2015-07-24
"Saturday, Jul 25","HOU","W-wo","58-38","KCR","AL","central",0.604166666666667,2015-07-25
"Sunday, Jul 26","HOU","W","59-38","KCR","AL","central",0.608247422680412,2015-07-26
"Monday, Jul 27","CLE","W","60-38","KCR","AL","central",0.612244897959184,2015-07-27
"Tuesday, Jul 28","CLE","W","61-38","KCR","AL","central",0.616161616161616,2015-07-28
"Wednesday, Jul 29","CLE","L","61-39","KCR","AL","central",0.61,2015-07-29
"Thursday, Jul 30","TOR","L","61-40","KCR","AL","central",0.603960396039604,2015-07-30
"Friday, Jul 31","TOR","L-wo","61-41","KCR","AL","central",0.598039215686274,2015-07-31
"Saturday, Aug 1","TOR","W","62-41","KCR","AL","central",0.601941747572815,2015-08-01
"Sunday, Aug 2","TOR","L","62-42","KCR","AL","central",0.596153846153846,2015-08-02
"Tuesday, Aug 4","DET","W","63-42","KCR","AL","central",0.6,2015-08-04
"Wednesday, Aug 5","DET","L","63-43","KCR","AL","central",0.594339622641509,2015-08-05
"Thursday, Aug 6","DET","L-wo","63-44","KCR","AL","central",0.588785046728972,2015-08-06
"Friday, Aug 7","CHW","W","64-44","KCR","AL","central",0.592592592592593,2015-08-07
"Saturday, Aug 8","CHW","W","65-44","KCR","AL","central",0.596330275229358,2015-08-08
"Sunday, Aug 9","CHW","W","66-44","KCR","AL","central",0.6,2015-08-09
"Monday, Aug 10","DET","W","67-44","KCR","AL","central",0.603603603603604,2015-08-10
"Tuesday, Aug 11","DET","W","68-44","KCR","AL","central",0.607142857142857,2015-08-11
"Wednesday, Aug 12","DET","L","68-45","KCR","AL","central",0.601769911504425,2015-08-12
"Thursday, Aug 13","LAA","L","68-46","KCR","AL","central",0.596491228070175,2015-08-13
"Friday, Aug 14","LAA","W","69-46","KCR","AL","central",0.6,2015-08-14
"Saturday, Aug 15","LAA","W","70-46","KCR","AL","central",0.603448275862069,2015-08-15
"Sunday, Aug 16","LAA","W-wo","71-46","KCR","AL","central",0.606837606837607,2015-08-16
"Tuesday, Aug 18","CIN","W","72-46","KCR","AL","central",0.610169491525424,2015-08-18
"Wednesday, Aug 19","CIN","W","73-46","KCR","AL","central",0.613445378151261,2015-08-19
"Thursday, Aug 20","BOS","L","73-47","KCR","AL","central",0.608333333333333,2015-08-20
"Friday, Aug 21","BOS","L","73-48","KCR","AL","central",0.603305785123967,2015-08-21
"Saturday, Aug 22","BOS","W","74-48","KCR","AL","central",0.60655737704918,2015-08-22
"Sunday, Aug 23","BOS","W","75-48","KCR","AL","central",0.609756097560976,2015-08-23
"Monday, Aug 24","BAL","W","76-48","KCR","AL","central",0.612903225806452,2015-08-24
"Tuesday, Aug 25","BAL","W","77-48","KCR","AL","central",0.616,2015-08-25
"Wednesday, Aug 26","BAL","L","77-49","KCR","AL","central",0.611111111111111,2015-08-26
"Thursday, Aug 27","BAL","W","78-49","KCR","AL","central",0.614173228346457,2015-08-27
"Friday, Aug 28","TBR","W","79-49","KCR","AL","central",0.6171875,2015-08-28
"Saturday, Aug 29","TBR","W","80-49","KCR","AL","central",0.62015503875969,2015-08-29
"Sunday, Aug 30","TBR","L","80-50","KCR","AL","central",0.615384615384615,2015-08-30
"Tuesday, Sep 1","DET","L","80-51","KCR","AL","central",0.610687022900763,2015-09-01
"Wednesday, Sep 2","DET","W","81-51","KCR","AL","central",0.613636363636364,2015-09-02
"Thursday, Sep 3","DET","W","82-51","KCR","AL","central",0.616541353383459,2015-09-03
"Friday, Sep 4","CHW","L","82-52","KCR","AL","central",0.611940298507463,2015-09-04
"Saturday, Sep 5","CHW","L","82-53","KCR","AL","central",0.607407407407407,2015-09-05
"Sunday, Sep 6","CHW","L","82-54","KCR","AL","central",0.602941176470588,2015-09-06
"Monday, Sep 7","MIN","L","82-55","KCR","AL","central",0.598540145985402,2015-09-07
"Tuesday, Sep 8","MIN","W","83-55","KCR","AL","central",0.601449275362319,2015-09-08
"Wednesday, Sep 9","MIN","L","83-56","KCR","AL","central",0.597122302158273,2015-09-09
"Friday, Sep 11","BAL","L","83-57","KCR","AL","central",0.592857142857143,2015-09-11
"Saturday, Sep 12","BAL","W","84-57","KCR","AL","central",0.595744680851064,2015-09-12
"Sunday, Sep 13","BAL","L","84-58","KCR","AL","central",0.591549295774648,2015-09-13
"Monday, Sep 14","CLE","L","84-59","KCR","AL","central",0.587412587412587,2015-09-14
"Tuesday, Sep 15","CLE","W","85-59","KCR","AL","central",0.590277777777778,2015-09-15
"Wednesday, Sep 16","CLE","L","85-60","KCR","AL","central",0.586206896551724,2015-09-16
"Thursday, Sep 17","CLE","W","86-60","KCR","AL","central",0.589041095890411,2015-09-17
"Friday, Sep 18","DET","L-wo","86-61","KCR","AL","central",0.585034013605442,2015-09-18
"Saturday, Sep 19","DET","L-wo","86-62","KCR","AL","central",0.581081081081081,2015-09-19
"Sunday, Sep 20","DET","W","87-62","KCR","AL","central",0.583892617449664,2015-09-20
"Tuesday, Sep 22","SEA","L","87-63","KCR","AL","central",0.58,2015-09-22
"Wednesday, Sep 23","SEA","W-wo","88-63","KCR","AL","central",0.582781456953642,2015-09-23
"Thursday, Sep 24","SEA","W","89-63","KCR","AL","central",0.585526315789474,2015-09-24
"Friday, Sep 25","CLE","L","89-64","KCR","AL","central",0.581699346405229,2015-09-25
"Saturday, Sep 26","CLE","L","89-65","KCR","AL","central",0.577922077922078,2015-09-26
"Sunday, Sep 27","CLE","W","90-65","KCR","AL","central",0.580645161290323,2015-09-27
"Monday, Apr 6","CLE","W","1-0","HOU","AL","west",1,2015-04-06
"Wednesday, Apr 8","CLE","L","1-1","HOU","AL","west",0.5,2015-04-08
"Thursday, Apr 9","CLE","L","1-2","HOU","AL","west",0.333333333333333,2015-04-09
"Friday, Apr 10","TEX","W","2-2","HOU","AL","west",0.5,2015-04-10
"Saturday, Apr 11","TEX","L","2-3","HOU","AL","west",0.4,2015-04-11
"Sunday, Apr 12","TEX","W","3-3","HOU","AL","west",0.5,2015-04-12
"Monday, Apr 13","OAK","L","3-4","HOU","AL","west",0.428571428571429,2015-04-13
"Tuesday, Apr 14","OAK","L","3-5","HOU","AL","west",0.375,2015-04-14
"Wednesday, Apr 15","OAK","W","4-5","HOU","AL","west",0.444444444444444,2015-04-15
"Friday, Apr 17","LAA","L","4-6","HOU","AL","west",0.4,2015-04-17
"Saturday, Apr 18","LAA","W","5-6","HOU","AL","west",0.454545454545455,2015-04-18
"Sunday, Apr 19","LAA","W","6-6","HOU","AL","west",0.5,2015-04-19
"Monday, Apr 20","SEA","W","7-6","HOU","AL","west",0.538461538461538,2015-04-20
"Tuesday, Apr 21","SEA","W","8-6","HOU","AL","west",0.571428571428571,2015-04-21
"Wednesday, Apr 22","SEA","L","8-7","HOU","AL","west",0.533333333333333,2015-04-22
"Friday, Apr 24","OAK","W","9-7","HOU","AL","west",0.5625,2015-04-24
"Saturday, Apr 25","OAK","W","10-7","HOU","AL","west",0.588235294117647,2015-04-25
"Sunday, Apr 26","OAK","W","11-7","HOU","AL","west",0.611111111111111,2015-04-26
"Monday, Apr 27","SDP","W","12-7","HOU","AL","west",0.631578947368421,2015-04-27
"Tuesday, Apr 28","SDP","W","13-7","HOU","AL","west",0.65,2015-04-28
"Wednesday, Apr 29","SDP","W","14-7","HOU","AL","west",0.666666666666667,2015-04-29
"Thursday, Apr 30","SEA","W-wo","15-7","HOU","AL","west",0.681818181818182,2015-04-30
"Friday, May 1","SEA","W","16-7","HOU","AL","west",0.695652173913043,2015-05-01
"Saturday, May 2","SEA","W","17-7","HOU","AL","west",0.708333333333333,2015-05-02
"Sunday, May 3","SEA","W","18-7","HOU","AL","west",0.72,2015-05-03
"Monday, May 4","TEX","L","18-8","HOU","AL","west",0.692307692307692,2015-05-04
"Tuesday, May 5","TEX","L","18-9","HOU","AL","west",0.666666666666667,2015-05-05
"Wednesday, May 6","TEX","L","18-10","HOU","AL","west",0.642857142857143,2015-05-06
"Thursday, May 7","LAA","W","19-10","HOU","AL","west",0.655172413793103,2015-05-07
"Friday, May 8","LAA","L","19-11","HOU","AL","west",0.633333333333333,2015-05-08
"Saturday, May 9","LAA","W","20-11","HOU","AL","west",0.645161290322581,2015-05-09
"Sunday, May 10","LAA","L","20-12","HOU","AL","west",0.625,2015-05-10
"Tuesday, May 12","SFG","L","20-13","HOU","AL","west",0.606060606060606,2015-05-12
"Wednesday, May 13","SFG","W","21-13","HOU","AL","west",0.617647058823529,2015-05-13
"Thursday, May 14","TOR","W","22-13","HOU","AL","west",0.628571428571429,2015-05-14
"Friday, May 15","TOR","W","23-13","HOU","AL","west",0.638888888888889,2015-05-15
"Saturday, May 16","TOR","W","24-13","HOU","AL","west",0.648648648648649,2015-05-16
"Sunday, May 17","TOR","W","25-13","HOU","AL","west",0.657894736842105,2015-05-17
"Monday, May 18","OAK","L","25-14","HOU","AL","west",0.641025641025641,2015-05-18
"Tuesday, May 19","OAK","W","26-14","HOU","AL","west",0.65,2015-05-19
"Wednesday, May 20","OAK","W","27-14","HOU","AL","west",0.658536585365854,2015-05-20
"Thursday, May 21","DET","L-wo","27-15","HOU","AL","west",0.642857142857143,2015-05-21
"Friday, May 22","DET","L","27-16","HOU","AL","west",0.627906976744186,2015-05-22
"Saturday, May 23","DET","W","28-16","HOU","AL","west",0.636363636363636,2015-05-23
"Sunday, May 24","DET","W","29-16","HOU","AL","west",0.644444444444444,2015-05-24
"Monday, May 25","BAL","L","29-17","HOU","AL","west",0.630434782608696,2015-05-25
"Tuesday, May 26","BAL","W","30-17","HOU","AL","west",0.638297872340426,2015-05-26
"Wednesday, May 27","BAL","L","30-18","HOU","AL","west",0.625,2015-05-27
"Friday, May 29","CHW","L","30-19","HOU","AL","west",0.612244897959184,2015-05-29
"Saturday, May 30","CHW","W","31-19","HOU","AL","west",0.62,2015-05-30
"Sunday, May 31","CHW","L","31-20","HOU","AL","west",0.607843137254902,2015-05-31
"Monday, Jun 1","BAL","W","32-20","HOU","AL","west",0.615384615384615,2015-06-01
"Tuesday, Jun 2","BAL","W","33-20","HOU","AL","west",0.622641509433962,2015-06-02
"Wednesday, Jun 3","BAL","W","34-20","HOU","AL","west",0.62962962962963,2015-06-03
